iter	Logloss	Accuracy
0	0.34071735	0.9982491047
1	0.1594857976	0.9985112708
2	0.07854965093	0.9988296154
3	0.04224647713	0.9990964631
4	0.02402510618	0.9993164954
5	0.01518817811	0.9994569416
6	0.01027372783	0.9994943939
7	0.007439715803	0.9995224831
8	0.005667356629	0.9995412092
9	0.004675148827	0.9995458908
10	0.004067800429	0.9995692985
11	0.003613022849	0.9995880246
12	0.003300077708	0.9995927062
13	0.00305831361	0.9996020692
14	0.002886915293	0.9996207954
15	0.002778353522	0.9996207954
16	0.002644364867	0.9996254769
17	0.002584617274	0.9996488846
18	0.002540998268	0.9996535662
19	0.002487293211	0.9996535662
20	0.002448430298	0.9996629292
21	0.002355222633	0.9996629292
22	0.002291072753	0.9996629292
23	0.00224065194	0.9996629292
24	0.002194691974	0.9996722923
25	0.002158854834	0.9996722923
26	0.002125301389	0.9996769739
27	0.002078835096	0.9996769739
28	0.0020589196	0.9996769739
29	0.002015168078	0.9996769739
30	0.001990492336	0.9996863369
31	0.001972719195	0.9996863369
32	0.001961879729	0.9996863369
33	0.001933731537	0.9996910185
34	0.001899552747	0.9997003815
35	0.001883485528	0.9997003815
36	0.001865212704	0.9997003815
37	0.001831199167	0.9997097446
38	0.001813664718	0.9997144262
39	0.00180463145	0.9997144262
40	0.001793586424	0.9997237892
41	0.00176519081	0.9997237892
42	0.001748774378	0.9997284708
43	0.001741237489	0.9997284708
44	0.001729816555	0.9997284708
45	0.001706246566	0.9997284708
46	0.001685818803	0.9997331523
47	0.001675966421	0.9997331523
48	0.001664301851	0.9997331523
49	0.001653957137	0.9997331523
50	0.001641451043	0.9997378339
51	0.00162816612	0.9997378339
52	0.001614838028	0.9997331523
53	0.001603066618	0.9997331523
54	0.00159008657	0.9997331523
55	0.001573764779	0.9997331523
56	0.001568198418	0.9997331523
57	0.001560238512	0.9997331523
58	0.001550340218	0.9997331523
59	0.001543580677	0.9997331523
60	0.001523784663	0.9997331523
61	0.0015191128	0.9997378339
62	0.001511067687	0.9997378339
63	0.001504962546	0.9997378339
64	0.001488076145	0.9997425154
65	0.00146852183	0.9997425154
66	0.001451488922	0.9997471969
67	0.00144939114	0.9997471969
68	0.001444262907	0.9997471969
69	0.001438809715	0.9997471969
70	0.001431663624	0.9997471969
71	0.001423693654	0.9997471969
72	0.001418219015	0.9997425154
73	0.001412780231	0.9997518785
74	0.001403731331	0.9997518785
75	0.001397359369	0.9997518785
76	0.001390465211	0.9997471969
77	0.001381384386	0.9997518785
78	0.001376397213	0.9997518785
79	0.001369389497	0.9997518785
80	0.00136161188	0.9997518785
81	0.001353037673	0.99975656
82	0.001349498239	0.99975656
83	0.001342441223	0.99975656
84	0.001328217637	0.99975656
85	0.001320905443	0.9997659231
86	0.001316236652	0.9997659231
87	0.001314031729	0.9997706046
88	0.001306353575	0.9997706046
89	0.001289937601	0.9997799677
90	0.001275665207	0.9997752862
91	0.001269434151	0.9997799677
92	0.001249029634	0.9997799677
93	0.001243553295	0.9997799677
94	0.001240275001	0.9997799677
95	0.001232218893	0.9997846492
96	0.001223056125	0.9997846492
97	0.001217747258	0.9997893308
98	0.001214855597	0.9997940123
99	0.001207023387	0.9997940123
100	0.001193937665	0.9997940123
101	0.001188091169	0.9997940123
102	0.00118585409	0.9997986939
103	0.001182754359	0.9997986939
104	0.001174105922	0.9997986939
105	0.001171705196	0.9997986939
106	0.001165475837	0.9997986939
107	0.001160944137	0.9998033754
108	0.001153141616	0.9998033754
109	0.001148567041	0.9998033754
110	0.001139476014	0.9998033754
111	0.00113632265	0.9998033754
112	0.001127044996	0.9998127385
113	0.001124745153	0.9998080569
114	0.001121825781	0.9998080569
115	0.001112265785	0.9998080569
116	0.001102822325	0.9998080569
117	0.0011001959	0.9998127385
118	0.001097008831	0.9998127385
119	0.001094478585	0.9998127385
120	0.001092114708	0.9998127385
121	0.001088544392	0.9998127385
122	0.001087372773	0.9998127385
123	0.001082770795	0.9998127385
124	0.001078460161	0.99981742
125	0.001060790498	0.9998127385
126	0.001054082429	0.99981742
127	0.001047941652	0.9998221015
128	0.001039196885	0.9998221015
129	0.001034389906	0.9998221015
130	0.001029993031	0.9998221015
131	0.001026170581	0.9998221015
132	0.001022426013	0.9998221015
133	0.001017598662	0.9998267831
134	0.001012871203	0.9998267831
135	0.00100150916	0.9998267831
136	0.000999008184	0.9998267831
137	0.0009886693807	0.9998267831
138	0.0009860602867	0.9998314646
139	0.000984338155	0.9998314646
140	0.0009814018103	0.9998314646
141	0.0009784166434	0.9998314646
