iter	Passed	Remaining
399	26613	39920
400	26676	39848
401	26799	39865
402	26859	39788
403	26931	39730
404	26998	39664
405	27071	39607
406	27136	39537
407	27215	39489
408	27264	39396
409	27305	39293
410	27361	39212
411	27419	39132
412	27465	39036
413	27546	38990
414	27611	38922
415	27675	38852
416	27735	38777
417	27802	38710
418	27859	38630
419	27926	38564
420	27999	38507
421	28063	38438
422	28130	38371
423	28215	38331
424	28321	38317
425	28411	38281
426	28502	38248
427	28558	38166
428	28636	38115
429	28703	38048
430	28776	37989
431	28885	37978
432	28938	37893
433	29018	37844
434	29097	37793
435	29150	37708
436	29205	37625
437	29261	37546
438	29325	37474
439	29425	37450
440	29486	37376
441	29591	37358
442	29656	37288
443	29711	37205
444	29780	37141
445	29869	37103
446	29941	37041
447	30004	36969
448	30098	36935
449	30143	36842
450	30210	36775
451	30275	36705
452	30328	36621
453	30417	36580
454	30487	36518
455	30525	36415
456	30592	36349
457	30657	36279
458	30743	36236
459	30803	36161
460	30924	36157
461	31002	36102
462	31096	36066
463	31156	35991
464	31239	35942
465	31342	35916
466	31418	35858
467	31473	35777
468	31565	35738
469	31650	35691
470	31734	35642
471	31816	35591
472	31891	35532
473	31983	35491
474	32107	35486
475	32230	35480
476	32298	35413
477	32374	35354
478	32431	35275
479	32489	35197
480	32544	35116
481	32616	35052
482	32679	34979
483	32757	34922
484	32832	34863
485	32906	34802
486	32969	34729
487	33017	34640
488	33093	34582
489	33144	34497
490	33211	34428
491	33270	34352
492	33324	34270
493	33397	34208
494	33467	34143
495	33549	34090
496	33625	34031
497	33679	33949
498	33765	33900
499	33844	33844
500	33943	33807
501	34008	33737
502	34058	33652
503	34134	33592
504	34196	33519
505	34262	33449
506	34325	33377
507	34368	33285
508	34430	33213
509	34489	33137
510	34539	33051
511	34598	32976
512	34656	32900
513	34721	32830
514	34801	32774
515	34862	32700
516	34938	32640
517	35018	32584
518	35087	32518
519	35185	32479
520	35260	32417
521	35336	32357
522	35399	32286
523	35488	32237
524	35552	32166
525	35618	32097
526	35678	32022
527	35753	31961
528	35812	31885
529	35883	31820
530	35953	31755
531	36009	31677
532	36065	31599
533	36122	31522
534	36184	31449
535	36249	31380
536	36323	31317
537	36381	31242
538	36464	31187
539	36520	31110
540	36611	31062
541	36656	30975
542	36707	30893
543	36772	30823
544	36822	30741
545	36889	30673
546	36950	30600
547	37004	30521
548	37055	30440
549	37153	30398
550	37256	30359
551	37326	30294
552	37395	30227
553	37460	30157
554	37517	30081
555	37580	30010
556	37667	29958
557	37736	29891
558	37800	29821
559	37870	29755
560	37931	29682
561	37987	29605
562	38055	29538
563	38128	29475
564	38201	29411
565	38299	29367
566	38381	29311
567	38461	29252
568	38525	29181
569	38596	29116
570	38660	29046
571	38756	28999
572	38813	28923
573	38888	28861
574	38952	28791
575	39023	28725
576	39084	28652
577	39153	28586
578	39252	28541
579	39333	28482
580	39394	28409
581	39456	28338
582	39524	28270
583	39582	28195
584	39646	28124
585	39707	28052
586	39842	28032
587	39925	27975
588	39982	27899
589	40060	27838
590	40128	27771
591	40179	27691
592	40233	27613
593	40313	27554
594	40361	27473
595	40419	27398
596	40466	27316
597	40533	27248
598	40596	27177
599	40664	27109
600	40728	27039
601	40806	26978
602	40862	26902
603	40921	26829
604	40977	26753
605	41021	26670
606	41080	26597
607	41132	26519
608	41181	26440
609	41242	26368
610	41306	26298
611	41363	26224
612	41421	26150
613	41521	26102
614	41645	26070
615	41715	26004
616	41787	25939
617	41839	25862
618	41900	25790
619	41962	25719
620	42013	25640
621	42073	25568
622	42126	25492
623	42189	25422
624	42253	25352
625	42337	25294
626	42387	25215
627	42463	25153
628	42509	25073
629	42567	25000
630	42627	24927
631	42693	24859
632	42756	24789
633	42816	24717
634	42905	24662
635	42962	24588
636	43022	24516
637	43076	24441
638	43130	24366
639	43187	24293
640	43242	24218
641	43303	24147
642	43358	24073
643	43423	24004
644	43492	23937
645	43547	23863
646	43610	23793
647	43669	23721
648	43742	23657
649	43805	23587
650	43857	23511
651	43930	23447
652	43993	23378
653	44063	23311
654	44140	23249
655	44215	23186
656	44300	23128
657	44370	23061
658	44432	22991
659	44525	22937
660	44618	22883
661	44684	22814
662	44762	22752
663	44814	22677
664	44864	22601
665	44930	22532
666	44985	22459
667	45056	22393
668	45110	22319
669	45199	22262
670	45256	22189
671	45318	22119
672	45380	22049
673	45444	21980
674	45504	21909
675	45584	21848
676	45635	21772
677	45693	21701
678	45761	21633
679	45842	21573
680	45889	21495
681	45946	21423
682	45994	21347
683	46049	21274
684	46108	21203
685	46188	21141
686	46238	21066
687	46302	20997
688	46374	20932
689	46437	20863
690	46519	20802
691	46562	20724
692	46636	20660
693	46698	20590
694	46760	20520
695	46815	20448
696	46873	20377
697	46950	20313
698	46998	20238
699	47048	20163
700	47156	20113
701	47222	20045
702	47286	19977
703	47358	19911
704	47413	19839
705	47467	19766
706	47527	19696
707	47605	19633
708	47665	19563
709	47744	19501
710	47831	19442
711	47899	19374
712	47958	19304
713	48012	19231
714	48080	19164
715	48131	19091
716	48198	19023
717	48271	18958
718	48342	18893
719	48395	18820
720	48484	18761
721	48559	18697
722	48616	18626
723	48674	18555
724	48790	18506
725	48851	18437
726	48916	18368
727	48987	18302
728	49052	18234
729	49125	18169
730	49184	18099
731	49245	18029
732	49319	17965
733	49415	17908
734	49507	17849
735	49590	17787
736	49656	17720
737	49718	17650
738	49776	17580
739	49848	17514
740	49908	17444
741	49971	17375
742	50025	17303
743	50110	17242
744	50155	17167
745	50211	17096
746	50262	17023
747	50315	16951
748	50374	16881
749	50431	16810
750	50504	16745
751	50565	16675
752	50632	16608
753	50695	16540
754	50819	16491
755	50901	16428
756	50968	16360
757	51047	16297
758	51099	16225
759	51159	16155
760	51236	16091
761	51296	16021
762	51369	15956
763	51421	15883
764	51472	15811
765	51521	15739
766	51584	15670
767	51631	15596
768	51686	15526
769	51737	15454
770	51802	15386
771	51846	15312
772	51910	15243
773	51974	15176
774	52046	15110
775	52107	15041
776	52161	14970
777	52218	14900
778	52286	14833
779	52377	14773
780	52446	14706
781	52518	14640
782	52625	14584
783	52697	14518
784	52800	14461
785	52871	14395
786	52944	14329
787	53019	14264
788	53111	14203
789	53189	14138
790	53251	14070
791	53332	14006
792	53405	13940
793	53490	13877
794	53597	13820
795	53692	13760
796	53774	13696
797	53851	13631
798	53917	13563
799	53999	13499
800	54069	13433
801	54144	13367
802	54246	13308
803	54356	13251
804	54428	13184
805	54492	13116
806	54549	13045
807	54630	12981
808	54698	12913
809	54789	12851
810	54861	12785
811	54915	12714
812	54992	12649
813	55079	12585
814	55187	12527
815	55276	12464
816	55336	12394
817	55430	12332
818	55486	12262
819	55542	12192
820	55600	12122
821	55655	12051
822	55716	11982
823	55792	11916
824	55888	11855
825	55943	11784
826	56013	11717
827	56089	11651
828	56143	11580
829	56192	11509
830	56257	11441
831	56326	11373
